# Official department -> website directory, Government of Gujarat.
#
# Source: GSWAN (Gujarat State Wide Area Network), "Government Departments ->
# GoG Department Websites", https://gswan.gov.in. Page footer states
# "Last Updated : 06/07/2026".
#
# This is the authoritative answer to "what does this site do" for the sites it
# covers, published by the state's own network operator. It is why the registry
# needs no scraping to name ~250 hosts: the government already published the
# mapping and we read it once.
#
# Format: department<TAB>official name<TAB>url
# Lines beginning # are comments. Blank lines ignored.
#
# Transcribed verbatim, including the entries whose URLs point off .gov.in
# (gvc.org.in, gujarattourism.com, ssagujarat.org and so on) and the two typos
# the source itself carries ("Government ing and Stationery", "Revenue Tribuna").
# Fixing a quote is how a quote stops being evidence.

Narmada, Water Resources and Water Supply	Gujarat Water Supply and Sewerage Board	https://watersupply.gujarat.gov.in/
Narmada, Water Resources and Water Supply	Kalpasar Department	https://kalpasar.gujarat.gov.in/
Narmada, Water Resources and Water Supply	Gujarat Water Infrastructure Limited	https://gwilws.gujarat.gov.in/

Panchayat, Rural Housing & Rural Development	Panchayat, Rural Housing & Rural Development Department	http://panchayat.gujarat.gov.in
Panchayat, Rural Housing & Rural Development	Commissionerate of Rural Development Office	https://ruraldev.gujarat.gov.in/Index
Panchayat, Rural Housing & Rural Development	Development Commissioner Office	https://dcoffice.gujarat.gov.in/gu/home
Panchayat, Rural Housing & Rural Development	Egram Vishwagram Project	http://panchayat.gujarat.gov.in/panchayatvibhag/e-gram-viram-New.htm
Panchayat, Rural Housing & Rural Development	Ahemdabad District Panchayat	http://ahmedabaddp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Vadodara District Panchayat	http://vadodaradp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Gandhinagar District Panchayat	http://gandhinagardp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Surat District Panchayat	http://suratdp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Rajkot District Panchayat	http://rajkotdp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Jamnagar District Panchayat	http://jamnagardp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Anand District Panchayat	http://ananddp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Bhavnagar District Panchayat	http://bhavnagardp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Porbandar District Panchayat	https://porbandardp.gujarat.gov.in/Porbander/english/index.htm
Panchayat, Rural Housing & Rural Development	Valsad District Panchayat	http://valsaddp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Kutchh District Panchayat	http://kutchdp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Bharuch District Panchayat	http://bharuchdp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Amreli District Panchayat	http://amrelidp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Tapi District Panchayat	http://tapidp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Junagadh District Panchayat	http://junagadhdp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Panchamahal District Panchayat	http://panchmahaldp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Surendranagar District Panchayat	http://surendranagardp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Patan District Panchayat	http://patandp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Navsari District Panchayat	http://navsaridp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Mehsana District Panchayat	https://mehsanadp.gujarat.gov.in/Mehasana/english/index.htm
Panchayat, Rural Housing & Rural Development	Dang District Panchayat	http://dangdp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Dahod District Panchayat	http://dahoddp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Narmada District Panchayat	http://narmadadp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Banaskantha District Panchayat	http://banaskanthadp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Sabarkantha District Panchayat	http://sabarkanthadp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Morbi District Panchayat	http://morbidp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Mahisagar District Panchayat	http://mahisagardp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Girsomnath District Panchayat	http://girsomnathdp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Dev Bhumi Dwarka District Panchayat	http://devbhumidwarkadp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Chhotaudepur District Panchayat	http://chhotaudepurdp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Botad District Panchayat	http://botaddp.gujarat.gov.in/
Panchayat, Rural Housing & Rural Development	Arvalli District Panchayat	http://arvallidp.gujarat.gov.in/

Ports & Transport	Ports & Transport Department	http://pnt.gujarat.gov.in
Ports & Transport	Commissioner of Transport	http://cot.gujarat.gov.in
Ports & Transport	Gujarat Maritime Board	http://gmbports.org
Ports & Transport	Gujarat State Road Transport Corporation	https://gsrtc.in/site/

Revenue	Revenue Department	http://revenuedepartment.gujarat.gov.in
Revenue	Collector Office Ahmedabad	https://ahmedabad.gujarat.gov.in
Revenue	Collector Office Amreli	http://collectoramreli.gujarat.gov.in
Revenue	Collector Office Anand	https://anand.gujarat.gov.in/
Revenue	Collector Office Arvalli	http://collectorarvalli.gujarat.gov.in
Revenue	Collector Office Bharuch	http://collectorbharuch.gujarat.gov.in
Revenue	Collector Office Bhavanagar	http://collectorbhavnagar.gujarat.gov.in
Revenue	Collector Office Banaskantha	http://collectorbk.gujarat.gov.in
Revenue	Collector Office Botad	http://botad.gujarat.gov.in
Revenue	Collector Office Chhotaudepur	http://collectorchhotaudepur.gujarat.gov.in
Revenue	Collector Office Dahod	https://dahod.gujarat.gov.in
Revenue	Collector Office Dang	http://collectordangs.gujarat.gov.in
Revenue	Collector Office Devbhumi Dwaraka	http://devbhumidwarka.gujarat.gov.in
Revenue	Collector Office Gandhinagar	https://gandhinagar.gujarat.gov.in/
Revenue	Collector Office Girsomnath	http://collectorgirsomnath.gujarat.gov.in
Revenue	Collector Office Jamnagar	https://jamnagar.gujarat.gov.in/
Revenue	Collector Office Junagadh	http://collectorjunagadh.gujarat.gov.in
Revenue	Collector Office Kheda	http://collectorkheda.gujarat.gov.in
Revenue	Collector Office Kutch	https://kutch.gujarat.gov.in
Revenue	Collector Office Mahisagar	http://collectormahisagar.gujarat.gov.in
Revenue	Collector Office Mehsana	https://mehsana.gujarat.gov.in/
Revenue	Collector Office Morbi	http://collectormorbi.gujarat.gov.in
Revenue	Collector Office Narmada	https://narmada.gujarat.gov.in/
Revenue	Collector Office Navsari	http://collectornavsari.gujarat.gov.in
Revenue	Collector Office Panchmahal	http://collectorpanchmahal.gujarat.gov.in
Revenue	Collector Office Patan	http://collectorpatan.gujarat.gov.in
Revenue	Collector Office Porbandar	http://collectorporbandar.gujarat.gov.in
Revenue	Collector Office Rajkot	https://rajkot.gujarat.gov.in/
Revenue	Collector Office Sabarkantha	http://collectorsk.gujarat.gov.in
Revenue	Collector Office Surat	http://collectorsurat.gujarat.gov.in
Revenue	Collector Office Surendranagar	http://collectorsurendranagar.gujarat.gov.in
Revenue	Collector Office Tapi	http://tapi.gujarat.gov.in/
Revenue	Collector Office Vadodara	http://collectorvadodara.gujarat.gov.in
Revenue	Collector Office Valsad	http://collectorvalsad.gujarat.gov.in
Revenue	Revenue Inspection Commissioner	http://revenueinspection.gujarat.gov.in
Revenue	Settlement Commissioner & Superintendent of Land Records	http://landrecords.gujarat.gov.in/
Revenue	Deendayal Institute of Land & Survey	http://deendayalinstitute.gujarat.gov.in/
Revenue	Special Secretary Revenue Department - Appeals	http://revenueappeals.gujarat.gov.in/
Revenue	Gujarat Revenue Tribuna	http://revenuetribunal.gujarat.gov.in/
Revenue	Suendent Of Stamps and Inspector General of Registration	http://stampsregistration.gujarat.gov.in

Road & Building	Road & Building Department	https://rnb.gujarat.gov.in/

Science & Technology	Department of Science & Technology	http://dst.gujarat.gov.in
Science & Technology	Directorate of ICT & e-Governance	https://directorit.gujarat.gov.in/
Science & Technology	Bhaskaracharya Institute for Space Applications & Geo Informatics (BISAG)	http://bisag.gujarat.gov.in
Science & Technology	Gujarat State Bio-Technology Mission	http://btm.gujarat.gov.in
Science & Technology	Discussion Board	http://discussionboard.gujarat.gov.in
Science & Technology	Gujarat State Wide Area Network	http://gswan.gov.in
Science & Technology	Gujarat Informatics Ltd	http://gil.gujarat.gov.in/
Science & Technology	Gujarat Science City Council	http://sciencecity.gujarat.gov.in
Science & Technology	An E-Governance Bulletin from Gujarat Informatics Ltd	http://newsletter.gujarat.gov.in
Science & Technology	Institute of Seismological Research	http://isr.gujarat.gov.in
Science & Technology	Gujarat Council on Science and Technology	http://gujcost.gujarat.gov.in

Social Justice & Empowerment	Department Of Social Justice & Empowerment	http://sje.gujarat.gov.in
Social Justice & Empowerment	Director, Scheduled Caste Welfare	https://sje.gujarat.gov.in/dscw/
Social Justice & Empowerment	Director, Developing Castes Welfare	https://sje.gujarat.gov.in/ddcw/
Social Justice & Empowerment	Commissioner, Person with Disabilities	https://sje.gujarat.gov.in/disability/
Social Justice & Empowerment	Gujarat Schedule Caste Development Corporation	https://sje.gujarat.gov.in/gscdc/
Social Justice & Empowerment	Gujarat Backward Classes Development Corporation	https://sje.gujarat.gov.in/gbcdc/
Social Justice & Empowerment	Gujarat Safai Kamdar Development Corporation	https://sje.gujarat.gov.in/gskvn/
Social Justice & Empowerment	Gujarat Thakore and Koli Development Corporation	https://sje.gujarat.gov.in/gtkvn/
Social Justice & Empowerment	Gujarat Minority Finance and Development Corporation	https://sje.gujarat.gov.in/gmfdcl/
Social Justice & Empowerment	Gujarat Gopalak Development Corporation	https://sje.gujarat.gov.in/ggvn/
Social Justice & Empowerment	Dr.Ambedkar Antyodaya Development Corporation (s.c.)	https://sje.gujarat.gov.in/gapb/
Social Justice & Empowerment	Gujarat Nomadic and Denotified Tribes Development Corporation	https://sje.gujarat.gov.in/gntdnt/home

Sports, Youth & Cultural Activities	Sports, Youth & Cultural Activities Department	http://sycd.gujarat.gov.in/
Sports, Youth & Cultural Activities	Commissioner of Youth Services and Cultural Activities	https://commi-synca.gujarat.gov.in/
Sports, Youth & Cultural Activities	Director of Archaelogy and Museums	https://archaeologymuseum.gujarat.gov.in/
Sports, Youth & Cultural Activities	Directorate of Archaelogy & Museums	https://archaeologymuseum.gujarat.gov.in/Museum/
Sports, Youth & Cultural Activities	Gujarat State Abhilekhagar	https://abhilekhagar.gujarat.gov.in/
Sports, Youth & Cultural Activities	Director of Libraries	https://dolib.gujarat.gov.in/
Sports, Youth & Cultural Activities	Directorate of Languages	https://dol.gujarat.gov.in/
Sports, Youth & Cultural Activities	Gujarat State Gazetteer(core group)	https://gazetteer.gujarat.gov.in/
Sports, Youth & Cultural Activities	Swarnim Gujarat Sports University	https://sgsu.gujarat.gov.in/
Sports, Youth & Cultural Activities	Gujarat Sahitya Academy	https://sahityaacademy.gujarat.gov.in/
Sports, Youth & Cultural Activities	Gujarat State Sangeet Natak Academy	https://sangeetnatak.gujarat.gov.in/
Sports, Youth & Cultural Activities	Gujarat State Lalit Kala Academy	https://lalitkalaacademy.gujarat.gov.in/

Tribal Development	Tribal Development Department	http://tribal.gujarat.gov.in
Tribal Development	Commissionerate of Tribal Development	http://tribalmis.gujarat.gov.in
Tribal Development	Commissionerate of Tribal Development	http://comm-tribal.gujarat.gov.in
Tribal Development	Gujarat Tribal Development Corporation	http://adijatinigam.gujarat.gov.in
Tribal Development	Vanbandhu Kalyan Yojana	http://vky.gujarat.gov.in
Tribal Development	Gujarat State Tribal Education Society	http://eklavya-education.gujarat.gov.in
Tribal Development	Tribal Research & Training Institute	http://trti.gujarat.gov.in
Tribal Development	Development Support Agency of Gujarat	http://dsag.gujarat.gov.in

Urban Development & Urban Housing	Urban Development & Urban Housing Department	http://udd.gujarat.gov.in
Urban Development & Urban Housing	Ahmedabad Municipal Corporation	https://ahmedabadcity.gov.in/portal/index.jsp
Urban Development & Urban Housing	Vadodara Municipal Corporation	https://vmc.gov.in/
Urban Development & Urban Housing	Bhavnagar Municipal Corporation	https://bmcgujarat.com/
Urban Development & Urban Housing	Junagadh Municipal Corporation	https://junagadhmunicipal.org/
Urban Development & Urban Housing	Gandhinagar Municipal Corporation	http://gandhinagarmunicipal.com/
Urban Development & Urban Housing	Jamnagar Municipal Corporation	http://mcjamnagar.com/
Urban Development & Urban Housing	Surat Muncipal Corporation	https://suratmunicipal.gov.in/

Women & Child Development	Women & Child Development Department	http://wcd.gujarat.gov.in
